Affoux,340,3,343
Aigueperse,246,1,247
Albigny-sur-Saône,2793,37,2830
Alix,728,10,738
Ambérieux,552,12,564
Amplepuis,5090,122,5212
Ampuis,2680,51,2731
Ancy,597,18,615
Anse,6450,154,6604
L' Arbresle,6161,192,6353
Les Ardillats,607,15,622
Arnas,3409,99,3508
Aveize,1119,28,1147
Avenas,128,7,135
Azolette,127,0,127
Bagnols,656,7,663
Beaujeu,2048,38,2086
Belleville,8045,207,8252
Belmont-d'Azergues,628,8,636
Bessenay,2249,96,2345
Bibost,541,11,552
Blacé,1430,45,1475
Le Bois-d'Oingt,2287,62,2349
Le Breuil,452,8,460
Brignais,11390,161,11551
Brindas,5651,149,5800
Bron,39232,550,39782
Brullioles,797,16,813
Brussieu,1232,77,1309
Bully,2082,49,2131
Cailloux-sur-Fontaines,2509,77,2586
Caluire-et-Cuire,42038,747,42785
Cenves,403,13,416
Cercié,1149,18,1167
Chambost-Allières,782,17,799
Chambost-Longessaigne,886,20,906
Chamelet,649,16,665
Champagne-au-Mont-d'Or,5254,112,5366
La Chapelle-sur-Coise,554,25,579
Chaponnay,3805,78,3883
Chaponost,7963,232,8195
Charbonnières-les-Bains,4851,154,5005
Charentay,1198,68,1266
Charly,4470,159,4629
Charnay,1072,40,1112
Chassagny,1272,30,1302
Chasselay,2687,71,2758
Chassieu,9800,207,10007
Châtillon,2192,60,2252
Chaussan,972,42,1014
Chazay-d'Azergues,3943,116,4059
Chénas,539,13,552
Chénelette,317,7,324
Les Chères,1430,23,1453
Chessy,1824,47,1871
Chevinay,535,17,552
Chiroubles,411,8,419
Civrieux-d'Azergues,1512,21,1533
Claveisolles,640,84,724
Cogny,1154,25,1179
Coise,749,22,771
Collonges-au-Mont-d'Or,3860,106,3966
Colombier-Saugnieu,2495,25,2520
Communay,4080,112,4192
Condrieu,3856,72,3928
Corbas,11023,117,11140
Corcelles-en-Beaujolais,871,10,881
Cours-la-Ville,3817,88,3905
Courzieu,1117,34,1151
Couzon-au-Mont-d'Or,2574,49,2623
Craponne,10165,196,10361
Cublize,1260,22,1282
Curis-au-Mont-d'Or,1134,36,1170
Dardilly,8519,563,9082
Dareizé,445,12,457
Décines-Charpieu,25912,456,26368
Denicé,1347,40,1387
Dième,202,3,205
Dommartin,2671,128,2799
Dracé,988,13,1001
Duerne,781,22,803
Échalas,1597,23,1620
Écully,17742,402,18144
Émeringes,226,7,233
Éveux,1265,14,1279
Feyzin,9370,160,9530
Fleurie,1259,45,1304
Fleurieu-sur-Saône,1381,43,1424
Fleurieux-sur-l'Arbresle,2336,54,2390
Fontaines-Saint-Martin,3060,90,3150
Fontaines-sur-Saône,6295,100,6395
Francheville,13599,288,13887
Frontenas,812,28,840
Genas,12355,269,12624
Genay,5181,92,5273
Givors,19419,147,19566
Gleizé,7605,312,7917
Grandris,1164,22,1186
Grézieu-la-Varenne,5227,127,5354
Grézieu-le-Marché,764,20,784
Grigny,9245,107,9352
Les Haies,792,11,803
Les Halles,473,3,476
Haute-Rivoire,1396,25,1421
Irigny,8250,185,8435
Jarnioux,619,19,638
Jonage,5807,84,5891
Jons,1354,20,1374
Joux,650,8,658
Juliénas,861,37,898
Jullié,420,13,433
Lacenas,904,34,938
Lachassagne,953,38,991
Lamure-sur-Azergues,1035,81,1116
Lancié,903,18,921
Lantignié,835,21,856
Larajasse,1837,44,1881
Légny,650,14,664
Lentilly,5317,180,5497
Létra,947,21,968
Liergues,1917,38,1955
Limas,4549,110,4659
Limonest,3418,161,3579
Lissieu,3072,86,3158
Loire-sur-Rhône,2473,26,2499
Longes,909,10,919
Longessaigne,600,16,616
Lozanne,2483,34,2517
Lucenay,1844,27,1871
Lyon 1er Arrondissement,29209,918,30127
Lyon 2e  Arrondissement,30958,550,31508
Lyon 3e  Arrondissement,98135,1396,99531
Lyon 4e  Arrondissement,36240,605,36845
Lyon 5e  Arrondissement,46693,1346,48039
Lyon 6e  Arrondissement,49479,1083,50562
Lyon 7e  Arrondissement,75746,851,76597
Lyon 8e  Arrondissement,81454,1213,82667
Lyon 9e  Arrondissement,48429,789,49218
Marchampt,444,14,458
Marcilly-d'Azergues,872,36,908
Marcy,617,18,635
Marcy-l'Étoile,3503,80,3583
Marennes,1571,19,1590
Meaux-la-Montagne,246,0,246
Messimy,3356,78,3434
Meys,800,7,807
Meyzieu,31493,394,31887
Millery,3686,84,3770
Mions,12233,177,12410
Moiré,199,7,206
Monsols,962,18,980
Montagny,2604,43,2647
Montanay,2865,134,2999
Montmelas-Saint-Sorlin,438,14,452
Montromant,437,8,445
Montrottier,1318,68,1386
Morancé,2104,52,2156
Mornant,5545,183,5728
La Mulatière,6653,96,6749
Neuville-sur-Saône,7204,143,7347
Odenas,871,21,892
Oingt,640,19,659
Les Olmes,791,33,824
Orliénas,2310,53,2363
Oullins,25896,286,26182
Ouroux,343,35,378
Le Perréon,1436,34,1470
Pierre-Bénite,10071,102,10173
Poleymieux-au-Mont-d'Or,1306,35,1341
Pollionnay,2151,52,2203
Pomeys,1068,35,1103
Pommiers,2311,85,2396
Pont-Trambouze,491,8,499
Pontcharra-sur-Turdine,2517,49,2566
Pouilly-le-Monial,946,29,975
Poule-les-Écharmeaux,1105,19,1124
Propières,464,51,515
Pusignan,3730,75,3805
Quincié-en-Beaujolais,1246,37,1283
Quincieux,3203,59,3262
Ranchal,311,9,320
Régnié-Durette,1093,32,1125
Rillieux-la-Pape,30140,426,30566
Riverie,298,4,302
Rivolet,564,19,583
Rochetaillée-sur-Saône,1540,21,1561
Ronno,613,34,647
Rontalon,1179,25,1204
Sain-Bel,2271,36,2307
Saint-Andéol-le-Château,1653,31,1684
Saint-André-la-Côte,280,11,291
Saint-Appolinaire,181,5,186
Saint-Bonnet-de-Mure,6822,101,6923
Saint-Bonnet-des-Bruyères,381,5,386
Saint-Bonnet-le-Troncy,305,6,311
Saint-Christophe,241,3,244
Saint-Clément-de-Vers,217,6,223
Saint-Clément-les-Places,616,38,654
Saint-Clément-sur-Valsonne,780,19,799
Saint-Cyr-au-Mont-d'Or,5480,181,5661
Saint-Cyr-le-Chatoux,132,3,135
Saint-Cyr-sur-le-Rhône,1244,30,1274
Saint-Didier-au-Mont-d'Or,6403,186,6589
Saint-Didier-sous-Riverie,1181,27,1208
Saint-Didier-sur-Beaujeu,651,12,663
Saint-Étienne-des-Oullières,1942,33,1975
Saint-Étienne-la-Varenne,719,17,736
Saint-Fons,17463,109,17572
Saint-Forgeux,1468,27,1495
Saint-Genis-l'Argentière,1045,13,1058
Saint-Genis-Laval,20632,639,21271
Saint-Genis-les-Ollières,4563,111,4674
Saint-Georges-de-Reneins,4292,89,4381
Saint-Germain-au-Mont-d'Or,2843,56,2899
Saint-Germain-Nuelles,2068,64,2132
Saint-Igny-de-Vers,601,7,608
Saint-Jacques-des-Arrêts,106,5,111
Saint-Jean-d'Ardières,3729,96,3825
Saint-Jean-de-Touslas,832,15,847
Saint-Jean-des-Vignes,400,7,407
Saint-Jean-la-Bussière,1147,48,1195
Saint-Julien,821,31,852
Saint-Julien-sur-Bibost,556,17,573
Saint-Just-d'Avray,755,51,806
Saint-Lager,962,29,991
Saint-Laurent-d'Agny,2109,61,2170
Saint-Laurent-d'Oingt,824,36,860
Saint-Laurent-de-Chamousset,1922,96,2018
Saint-Laurent-de-Mure,5326,73,5399
Saint-Laurent-de-Vaux,270,7,277
Saint-Loup,975,28,1003
Saint-Mamert,61,2,63
Saint-Marcel-l'Éclairé,523,15,538
Saint-Martin-en-Haut,3847,164,4011
Saint-Maurice-sur-Dargoire,2251,61,2312
Saint-Nizier-d'Azergues,723,18,741
Saint-Pierre-de-Chandieu,4651,74,4725
Saint-Pierre-la-Palud,2607,66,2673
Saint-Priest,42488,476,42964
Saint-Romain-au-Mont-d'Or,1059,68,1127
Saint-Romain-de-Popey,1430,85,1515
Saint-Romain-en-Gal,1704,101,1805
Saint-Romain-en-Gier,520,3,523
Saint-Sorlin,610,21,631
Saint-Symphorien-d'Ozon,5443,59,5502
Saint-Symphorien-sur-Coise,3522,101,3623
Saint-Vérand,1111,20,1131
Saint-Vincent-de-Reins,671,11,682
Sainte-Catherine,927,27,954
Sainte-Colombe,1878,34,1912
Sainte-Consorce,1855,102,1957
Sainte-Foy-l'Argentière,1290,23,1313
Sainte-Foy-lès-Lyon,21707,495,22202
Sainte-Paule,337,5,342
Salles-Arbuissonnas-en-Beaujolais,816,28,844
Sarcey,941,34,975
Sathonay-Camp,4123,57,4180
Sathonay-Village,2267,58,2325
Les Sauvages,656,11,667
Savigny,1963,57,2020
Sérézin-du-Rhône,2584,82,2666
Simandres,1692,14,1706
Solaize,2931,33,2964
Soucieu-en-Jarrest,4055,71,4126
Sourcieux-les-Mines,1963,64,2027
Souzy,760,12,772
Taluyers,2294,52,2346
Taponas,930,17,947
Tarare,10401,223,10624
Tassin-la-Demi-Lune,21024,432,21456
Ternand,715,13,728
Ternay,5365,66,5431
Theizé,1088,42,1130
Thel,316,4,320
Thizy-les-Bourgs,6369,140,6509
Thurins,2947,53,3000
La Tour-de-Salvagny,3851,101,3952
Toussieu,2456,43,2499
Trades,116,0,116
Trèves,712,9,721
Tupin-et-Semons,615,21,636
Valsonne,889,13,902
Vaugneray,4925,127,5052
Vaulx-en-Velin,43394,550,43944
Vaux-en-Beaujolais,1064,25,1089
Vauxrenard,315,8,323
Vénissieux,61183,608,61791
Vernaison,4521,50,4571
Vernay,103,1,104
Ville-sur-Jarnioux,807,26,833
Villechenève,884,12,896
Villefranche-sur-Saône,36241,545,36786
Villeurbanne,146282,1658,147940
Villié-Morgon,2013,96,2109
Vourles,3129,87,3216
Yzeron,1022,27,1049
